,return_1m,turn_1m,std_1m,std_FF3factor_1m
2010-12-31,-0.12140328706262862,-0.0863726591584091,-0.1887988528777101,-0.17524488143183564
2011-01-31,-0.18175353176574988,0.05849249706139023,0.10771105575137799,-0.0012068872462785078
2011-02-28,-0.12793565326383352,-0.1512882473285507,-0.260199232706821,-0.24752022385190292
2011-03-31,-0.011462926156111266,-0.12544504839974044,-0.1147479154448995,-0.07722186709339918
2011-04-29,0.0005012903783039515,-0.1042586157874605,-0.10327823218648441,-0.11580648064257905
2011-05-31,-0.11053973287975127,0.008861159959901376,0.059595047333516345,0.038138524249138654
2011-06-30,-0.1330967661838344,-0.17115119105208385,-0.11115743428712355,-0.12289662172544318
2011-07-29,0.0006205269374941508,-0.20950628669208907,-0.11159493747871485,-0.10405860584290419
2011-08-31,-0.0390248589981396,-0.23012807902670013,-0.18345511022842784,-0.2452692231659661
2011-09-30,-0.06675275546884399,0.03013743813940134,0.015589385406744828,-0.023259523412689366
2011-10-31,-0.050326255655591456,-0.23722056441147465,-0.13431335583179105,-0.1359521896551449
2011-11-30,-0.0094215105739921,-0.03693279688721926,-0.12620545360429328,-0.126960021312446
2011-12-30,-0.27708442022718305,0.13333405595548845,0.10499299494086559,-0.005971938469571601
2012-01-31,-0.21548517667343073,0.01581021917353222,0.21544738124431326,0.07034864811566066
2012-02-29,-0.13901398690319575,-0.3062975926335161,-0.24973135729014273,-0.168570365167336
2012-03-30,-0.15390217594347752,-0.0674058581551499,0.046405124702225325,-0.061825330936259686
2012-04-27,-0.04177177079235455,-0.10205699997709422,-0.054942919385717194,-0.09653402518108312
2012-05-31,0.029864549347338263,-0.22217601310685742,-0.15987148711445875,-0.14207123860883392
2012-06-29,0.07890226169171671,-0.0911655649905813,-0.1101568291077444,-0.0938650037395928
2012-07-31,-0.1584904161065194,-0.1557037375984141,0.01214712619613539,-0.037321247893529946
2012-08-31,-0.09313113556534759,-0.07912747699629455,-0.024006556295043446,-0.08574317055806148
2012-09-28,-0.09154662317052227,-0.1241250824651657,-0.11529967910879636,-0.07446526583909963
2012-10-31,0.08386672761572954,-0.1396692345875237,-0.17869553023142645,-0.14815172077326244
2012-11-30,-0.2654106496799581,0.08322650897798499,0.0985816607543413,0.020268221596164968
2012-12-31,-0.09639884054589463,-0.12834387685627596,-0.10023135830686707,-0.10153077376999517
2013-01-31,-0.07289836580225677,-0.0829342366395346,-0.007795967537924196,-0.05658368621404212
2013-02-28,0.023018240027518608,-0.22307481058677628,-0.13867477575056453,-0.09219773625919667
2013-03-29,-0.07489716197332497,-0.09629951231254501,-0.04425493006118299,-0.0856525930008944
2013-04-26,-0.11981429430577434,-0.026712082433486183,0.06365758730461982,0.010048772120135463
2013-05-31,0.04047744490270201,-0.09601121379794147,0.053942190868662386,0.05562251662111449
2013-06-28,-0.1280245266421388,-0.04207696535472512,-0.011786351436300168,-0.059769591639020694
2013-07-31,-0.14021956336432997,-0.16507992060609014,-0.17986568850554957,-0.20681646091678227
2013-08-30,-0.12378921090906309,-0.027969139770710135,-0.044876011039219,-0.08666772440350343
2013-09-30,-0.09728631336730492,-0.1537304979291092,-0.2066095567951937,-0.18747678792451763
2013-10-31,-0.094384762302518,-0.01427991837526547,0.03747142752542706,-0.04642531352644804
2013-11-29,-0.08625883762413807,-0.2592367912931594,-0.22385770270582706,-0.23436412087385045
2013-12-31,0.0978459314051513,-0.07800786788948554,0.03297534326276366,0.03889494409624726
2014-01-30,-0.0899102202567451,-0.1749708537476882,-0.18041906542249875,-0.14824228627152375
2014-02-28,-0.07852452303280828,-0.2351388143231047,-0.30939052692692814,-0.28790743827443543
2014-03-31,0.02223871699452831,-0.13954216179592652,-0.12844167510551624,-0.0984699514314352
2014-04-30,-0.0698695373949489,-0.04061224209863414,-0.013835660772746299,-0.09214683506634995
2014-05-30,-0.05541689334545021,-0.0784766897853665,-0.054754435359150436,-0.102418357249826
2014-06-30,-0.2063234313954738,-0.10222375327827793,-0.19991637138565369,-0.20606327393148546
2014-07-31,-0.14469440460501037,-0.12342643518663181,-0.13007520672285466,-0.1272336331548708
2014-08-29,-0.016655629533864836,0.016948679072143275,-0.08279129886930757,-0.113384762482425
2014-09-30,-0.013117862033971242,-0.09022299265081082,-0.1418162251354016,-0.12867437379650642
2014-10-31,-0.022979335842378056,-0.009857412194801027,-0.05482068138920593,-0.0820818595459394
2014-11-28,0.06114603110059018,-0.025032849834830194,-0.09599378122926576,-0.09434448081395853
2014-12-31,-0.28487726390640455,-0.13025448352062033,-0.023216367955262635,-0.053099651682507215
2015-01-30,0.0950770703274879,-0.020662383527763527,0.01730961317440564,0.026679589853744228
2015-02-27,-0.017560690123415514,-0.06456821388639257,-0.07634282599640606,-0.0966385293137729
2015-03-31,-0.06549059040580894,-0.09875077033931341,-0.1004252850350883,-0.05890473998099581
2015-04-30,-0.05336107078809623,-0.049875612848277136,0.03554849464121917,-0.018285778655485113
2015-05-29,-0.28045874055920705,-0.03135727990251045,-0.19610884159472017,-0.26577813189168636
2015-06-30,-0.2558216276889574,-0.15396869543869882,-0.06533262810364926,-0.16025871758902732
2015-07-31,-0.09673784155749317,0.006944932007974027,0.13093349119641537,-0.2127772658274231
2015-08-31,-0.14236915407917258,-0.09631146465515338,-0.007067629612641854,-0.16300273558473732
2015-09-30,-0.1558442146535627,0.12599325637211595,0.23181394035031286,-0.0556473636830376
2015-10-30,-0.0036012399227283295,-0.09064165422882525,-0.02519143528961129,-0.12481920003390665
2015-11-30,-0.22325018759141066,-0.16674265888814574,-0.21232629934958813,-0.23602499707231447
2015-12-31,-0.08486939472381545,-0.19229230336959008,-0.15729277529607166,-0.1667221421810191
2016-01-29,-0.06825863600479057,-0.06682268872965628,-0.09449520608846865,-0.09886641701298754
2016-02-29,-0.2884256608603931,-0.003204362043772364,0.13824350823363296,-0.11162457784421824
2016-03-31,-0.06853230771131272,-0.2242227300411722,-0.2132963266667281,-0.17179387876932337
