,return_1m,turn_1m,std_1m,std_FF3factor_1m
2010-12-31,-0.04787879254736932,-0.04787879254736932,-0.04787879254736933,-0.04787879254736932
2011-01-31,0.09820534957956943,0.09822047782423134,0.09822458711117811,0.09821732854696204
2011-02-28,-0.005571987896343634,-0.005572015204482613,-0.00557977242083658,-0.005574026613452817
2011-03-31,-0.03052357262678047,-0.030531960665597924,-0.03053353552579935,-0.03052947003681487
2011-04-29,-0.07236129369962249,-0.07236380495249017,-0.07236015591742691,-0.07236225721146848
2011-05-31,0.03579775091966491,0.03579775091966492,0.03579775091966492,0.03579775091966492
2011-06-30,0.01545677619908393,0.015456540522993816,0.015459874979819706,0.015461324568870453
2011-07-29,-0.03234203208651748,-0.03234282058685253,-0.03234121631395549,-0.03234264454727907
2011-08-31,-0.11656076727297918,-0.11655886701433586,-0.11655898268617185,-0.11656194283384302
2011-09-30,0.04159308042684064,0.041593440898686294,0.041591785606768204,0.041591368835947176
2011-10-31,-0.04217882217098966,-0.04218148251503363,-0.042185130368318155,-0.042179462287472505
2011-11-30,-0.15163241161767543,-0.15163607565700526,-0.1516407771870095,-0.1516378170339082
2011-12-30,-0.0017427834280769286,-0.0017085242690026404,-0.0017104760212426993,-0.0017206524111476559
2012-01-31,0.1308458386794394,0.1308458386794394,0.1308458386794394,0.1308458386794394
2012-02-29,-0.07437489829675528,-0.07437489829675527,-0.07437489829675528,-0.07437489829675527
2012-03-30,0.06979569862805315,0.06980082917282929,0.06979697030425228,0.06979035067934831
2012-04-27,0.02404435931164684,0.024041586115355396,0.024043218483191166,0.02404157526442229
2012-05-31,-0.058633461863625204,-0.058633461863625204,-0.058633461863625204,-0.058633461863625204
2012-06-29,-0.09298682951652579,-0.09298323233120317,-0.09298100039624134,-0.09298209525426834
2012-07-31,0.020964450547760232,0.020969771836626315,0.020981007693488495,0.02097624101854407
2012-08-31,0.012572862690344938,0.01257883300351916,0.012571907002674326,0.012572898992618337
2012-09-28,-0.0017381358055624935,-0.0017382290373121844,-0.0017377423882970987,-0.0017377366593956066
2012-10-31,-0.10932734882501272,-0.10932734882501269,-0.10932734882501269,-0.10932734882501272
2012-11-30,0.16576788605671613,0.16578435910690853,0.1657863908499245,0.1657820817375451
2012-12-31,0.06546254259341491,0.06545935875521061,0.06546248468556896,0.0654579997938547
2013-01-31,0.03747803755757566,0.03748087851957687,0.037484218190879874,0.03748150201143659
