Date,Hedge Return
2013-12-31,0.0062033107384892
2014-01-30 00:00:00,0.0142277848880768
2014-02-28 00:00:00,0.0073137066062279
2014-03-31 00:00:00,-0.0036135639029554
2014-04-30 00:00:00,0.0061340591944507
2014-05-30 00:00:00,-0.0039867819983716
2014-06-30 00:00:00,-0.0021536590434343
2014-07-31 00:00:00,-0.0033384244339377
2014-08-29 00:00:00,0.0043487014610505
2014-09-30 00:00:00,-0.0006059091097819
2014-10-31 00:00:00,-0.0007146239474089
2014-11-28 00:00:00,0.0027492265160026
2014-12-31 00:00:00,0.0079818710240624
2015-01-30 00:00:00,0.0120024372398697
2015-02-27 00:00:00,0.0044902556963262
2015-03-31 00:00:00,0.0040015160956442
2015-04-30 00:00:00,0.0022314718080136
2015-05-29 00:00:00,-0.0033258087573815
2015-06-30 00:00:00,0.0026976816159901
2015-07-31 00:00:00,-0.0005012177455373
2015-08-31 00:00:00,-0.0086747382523897
2015-09-30 00:00:00,0.0064429542877305
2015-10-30 00:00:00,-0.0004434949424795
2015-11-30 00:00:00,-0.0133041099375948
2015-12-31 00:00:00,-0.0005229272291079
2016-01-29 00:00:00,-0.0068002524690358
2016-02-29 00:00:00,-0.001571690683159
2016-03-31 00:00:00,-0.0016310004916739
2016-04-29 00:00:00,-0.0024914909183298
2016-05-31 00:00:00,0.0016320269431028
2016-06-30 00:00:00,-0.0030434260178764
2016-07-29 00:00:00,-0.0058733043705905
2016-08-31 00:00:00,0.0022885187797229
2016-09-30 00:00:00,-0.0055540151868061
2016-10-31 00:00:00,0.0003777033377568
2016-11-30 00:00:00,0.0025657163136679
2016-12-30 00:00:00,-0.0007628348833299
2017-01-26 00:00:00,-0.0014871524239878221
