Date,Hedge Return
2013-12-31,0.0026976415381245
2014-01-30 00:00:00,0.0128510047817837
2014-02-28 00:00:00,0.0058127409876835
2014-03-31 00:00:00,-0.0035348025956592
2014-04-30 00:00:00,0.0018851278674276
2014-05-30 00:00:00,-0.001924570794501
2014-06-30 00:00:00,-0.0042310102715902
2014-07-31 00:00:00,-0.0013849842957818
2014-08-29 00:00:00,0.0047342555771979
2014-09-30 00:00:00,-0.0046717623035599
2014-10-31 00:00:00,-0.0003859486408837
2014-11-28 00:00:00,-9.843553157335046e-05
2014-12-31 00:00:00,0.0111015455095364
2015-01-30 00:00:00,0.0065457088572369
2015-02-27 00:00:00,0.0013621212882744
2015-03-31 00:00:00,0.0017587032240534
2015-04-30 00:00:00,0.0051659286605038
2015-05-29 00:00:00,0.0015115203846111
2015-06-30 00:00:00,-0.0043816832211851
2015-07-31 00:00:00,0.0161205865045317
2015-08-31 00:00:00,0.0037106306913286
2015-09-30 00:00:00,0.0039810407451368
2015-10-30 00:00:00,-0.0002307625783544
2015-11-30 00:00:00,-0.0063461851665191
2015-12-31 00:00:00,-0.0019463784442144
2016-01-29 00:00:00,0.0022653306441949
2016-02-29 00:00:00,0.0040263683778449
2016-03-31 00:00:00,0.0036082863397992
2016-04-29 00:00:00,0.0020661770795502
2016-05-31 00:00:00,0.0010420789441969
2016-06-30 00:00:00,-0.0025089073653407
2016-07-29 00:00:00,-0.0034412705513822
2016-08-31 00:00:00,0.0002004718543143
2016-09-30 00:00:00,-0.0036287918986751
2016-10-31 00:00:00,-0.0012506810984441
2016-11-30 00:00:00,0.0015349965943351
2016-12-30 00:00:00,-0.000392986707205
2017-01-26 00:00:00,-0.0015922151900663105
